loan_id,loan_date,loan_amount,loan_duration,payments,loan_success,account_frequency,account_creation,no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district unemploymant_growth,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,account_district crime_growth,account_district total_crime,birth_number,gender,code ,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district unemploymant_growth,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 ,client_district crime_growth,client_district total_crime,card_issued,card_type,no. movements,min no. trans,max no. trans,avg no. trans,min balance,max balance,avg balance
5314,05-07-1993,96396,12,8033,-1,weekly issuance,22-03-1993,94812,15,13,8,2,10,81.8,9650,3.38,3.67,0.29000000000000004,100,2985.0,2804,-181.0,5789.0,22-07-1947,female,30,94812,15,13,8,2,10,81.8,9650,3.38,3.67,0.29000000000000004,100,2985.0,2804,-181.0,5789.0,0,None,4.0,1100.0,9900.0,5025.0,1100.0,20100.0,12250.0
5316,11-07-1993,165960,36,4610,1,monthly issuance,13-02-1993,112709,48,20,7,3,10,73.5,8369,1.79,2.31,0.52,117,2854.0,2618,-236.0,5472.0,22-07-1968,male,46,112709,48,20,7,3,10,73.5,8369,1.79,2.31,0.52,117,2854.0,2618,-236.0,5472.0,0,None,37.0,2.9,54300.0,11015.635135135135,700.0,120512.8,52083.85945945946
6863,28-07-1993,127080,60,2118,1,monthly issuance,08-02-1993,77917,85,19,6,1,5,53.5,8390,2.28,2.89,0.6100000000000003,132,2080.0,2122,42.0,4202.0,02-06-1936,male,45,77917,85,19,6,1,5,53.5,8390,2.28,2.89,0.6100000000000003,132,2080.0,2122,42.0,4202.0,0,None,24.0,48.6,19065.0,5417.458333333333,800.0,49590.4,30060.954166666666
5325,03-08-1993,105804,36,2939,1,monthly issuance,30-01-1993,107870,84,29,6,1,6,58.0,8754,3.83,4.31,0.47999999999999954,137,3804.0,3868,64.0,7672.0,20-04-1940,female,14,177686,69,27,10,1,9,74.8,10045,1.42,1.71,0.29000000000000004,135,6604.0,6295,-309.0,12899.0,0,None,25.0,14.6,26448.0,8253.08,1000.0,65898.5,41297.479999999996
7240,06-09-1993,274740,60,4579,1,weekly issuance,14-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,07-09-1978,male,63,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,0,None,27.0,30.0,63366.0,18945.966666666667,600.0,122893.1,57188.21111111111
6687,13-09-1993,87840,24,3660,1,monthly issuance,12-05-1993,53921,61,22,1,1,2,41.3,8598,2.77,3.26,0.48999999999999977,123,1597.0,1875,278.0,3472.0,16-02-1980,female,13,53921,61,22,1,1,2,41.3,8598,2.77,3.26,0.48999999999999977,123,1597.0,1875,278.0,3472.0,0,None,17.0,51.3,32938.0,9496.929411764706,500.0,65847.8,46318.55294117647
7284,15-09-1993,52788,12,4399,1,monthly issuance,14-01-1993,58796,22,16,7,1,5,51.9,9045,3.13,3.6,0.4700000000000002,124,1845.0,1879,34.0,3724.0,16-02-1973,male,15,58796,22,16,7,1,5,51.9,9045,3.13,3.6,0.4700000000000002,124,1845.0,1879,34.0,3724.0,0,None,43.0,14.6,17920.0,3714.8976744186048,1000.0,41469.1,22198.17906976744
6111,24-09-1993,174744,24,7281,-1,monthly issuance,14-04-1993,122603,25,21,6,2,8,80.0,8991,1.39,2.01,0.6199999999999999,128,5198.0,5273,75.0,10471.0,12-08-1948,female,24,122603,25,21,6,2,8,80.0,8991,1.39,2.01,0.6199999999999999,128,5198.0,5273,75.0,10471.0,0,None,32.0,14.6,52600.0,11557.95,1000.0,105628.0,37485.45625
7235,13-10-1993,154416,48,3217,1,weekly issuance,20-04-1993,70699,60,13,2,1,4,65.3,8968,2.83,3.35,0.52,131,1740.0,1910,170.0,3650.0,25-05-1969,female,18,70699,60,13,2,1,4,65.3,8968,2.83,3.35,0.52,131,1740.0,1910,170.0,3650.0,0,None,32.0,13.6,39098.0,9740.15,8897.0,81723.5,46715.8
5997,04-11-1993,117024,24,4876,1,monthly issuance,20-06-1993,177686,69,27,10,1,9,74.8,10045,1.42,1.71,0.29000000000000004,135,6604.0,6295,-309.0,12899.0,03-10-1935,male,14,177686,69,27,10,1,9,74.8,10045,1.42,1.71,0.29000000000000004,135,6604.0,6295,-309.0,12899.0,0,None,13.0,45.1,29255.0,14122.576923076924,800.0,76985.2,44131.16923076923
7121,10-11-1993,21924,36,609,1,monthly issuance,17-01-1993,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,20-08-1960,male,55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,0.5500000000000003,111,3659.0,3894,235.0,7553.0,0,None,45.0,14.6,21739.5,5957.544444444445,1100.0,60432.4,34272.21333333333
6077,22-11-1993,79608,24,3317,1,monthly issuance,13-01-1993,105606,77,26,7,2,7,53.0,8254,2.79,3.76,0.9699999999999998,97,2166.0,2325,159.0,4491.0,28-04-1970,male,44,105606,77,26,7,2,7,53.0,8254,2.79,3.76,0.9699999999999998,97,2166.0,2325,159.0,4491.0,0,None,53.0,14.6,67124.0,17600.35849056604,800.0,125825.7,69954.57169811321
6228,01-12-1993,464520,60,7742,-1,weekly issuance,19-03-1993,77963,60,23,4,2,4,51.5,8546,2.95,4.02,1.0699999999999994,126,2640.0,3120,480.0,5760.0,02-12-1940,female,77,148545,8,35,12,3,4,53.5,8909,4.01,5.56,1.5499999999999998,113,3460.0,3590,130.0,7050.0,0,None,68.0,30.0,47757.0,13335.798529411764,200.0,125943.1,51760.01617647059
6356,08-12-1993,95400,36,2650,1,weekly issuance,15-03-1993,75685,31,28,5,1,9,60.8,8208,1.89,2.26,0.3699999999999999,155,1660.0,2123,463.0,3783.0,10-02-1971,male,5,95616,65,30,4,1,6,51.4,9307,3.85,4.43,0.5799999999999996,118,2616.0,3040,424.0,5656.0,0,None,47.0,23.6,35760.0,10370.702127659575,200.0,92354.8,41562.32340425532
5523,08-12-1993,93888,36,2608,1,issuance after transaction,05-07-1993,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,20-10-1950,female,63,86513,38,36,5,1,5,50.5,8288,3.79,4.52,0.7299999999999995,110,1562.0,1460,-102.0,3022.0,0,None,19.0,48.0,15649.0,7121.9157894736845,600.0,52378.2,37510.494736842105
6456,09-12-1993,47016,12,3918,1,issuance after transaction,14-04-1993,197099,29,41,10,2,10,74.7,9624,1.6,2.31,0.71,145,4484.0,4265,-219.0,8749.0,31-12-1957,female,46,112709,48,20,7,3,10,73.5,8369,1.79,2.31,0.52,117,2854.0,2618,-236.0,5472.0,0,None,42.0,32.8,51800.0,12252.22380952381,200.0,112901.6,60382.08571428571
