"average_salary";"status"
9650;-1
8369;1
8390;1
10045;1
8288;1
8598;1
9045;1
8991;-1
8968;1
10045;1
8743;1
8254;1
8909;-1
9307;1
8288;1
8369;1
9893;1
12541;1
9622;1
9897;-1
12541;1
12541;1
12541;1
8363;1
8114;1
8444;1
8930;1
9622;1
8991;-1
8598;1
9317;1
8819;1
8363;1
10673;1
9624;1
10446;1
9060;1
8965;1
8544;1
8254;1
8980;1
10446;-1
8909;1
8994;1
8427;1
10124;1
12541;1
9104;1
8624;1
9753;-1
8930;1
9832;1
8512;1
8930;1
8512;1
9622;1
8720;1
8561;1
9045;-1
8965;1
8369;1
12541;1
9307;-1
9893;1
8705;1
8757;1
8288;1
9622;1
8772;-1
9272;1
8909;1
9622;1
8441;-1
8187;1
9897;-1
12541;1
8390;1
8110;-1
8757;1
8743;1
12541;1
10124;1
12541;1
8624;1
8994;1
8930;1
8512;1
8743;1
8208;1
8965;1
12541;1
10177;1
12541;1
9897;1
8441;-1
10673;-1
8743;1
8187;1
12541;1
8441;1
9624;1
8754;1
8403;1
8427;1
8720;1
8720;1
8772;1
10673;1
8743;1
10673;1
8547;-1
8930;-1
12541;1
8843;1
8363;1
12541;-1
10177;1
10673;1
9897;1
12541;1
8930;1
12541;1
8288;1
8444;-1
12541;-1
9317;1
12541;1
8994;-1
8843;1
8867;1
9425;1
8965;1
12541;-1
8814;1
10673;1
10673;-1
10787;1
9307;1
8114;1
9538;1
12541;-1
9893;1
8507;1
8388;-1
8403;-1
10177;1
12541;1
12541;1
9675;1
8594;1
12541;1
8363;1
9624;1
10673;1
9538;1
9893;-1
8814;1
8594;1
12541;-1
8369;1
9753;1
8965;1
12541;1
9060;1
8843;1
8208;1
10787;1
8814;1
8541;1
9832;1
8390;1
8512;1
10124;1
9307;1
8899;1
8899;1
8507;1
9045;1
9624;1
8402;1
8507;1
9624;1
8994;1
12541;1
8254;1
9675;1
8547;1
12541;1
9622;1
12541;1
8544;1
10446;1
9425;1
9893;1
8427;-1
8402;1
8403;1
9897;1
10446;1
9622;-1
12541;1
8994;1
10673;1
8363;1
8930;1
8930;1
9104;1
10673;1
8390;1
12541;1
8994;1
8402;1
8187;1
8388;1
8757;1
8541;1
10177;1
8547;-1
9920;1
8598;-1
8930;-1
8403;1
9897;1
8363;-1
8965;1
10673;1
9538;1
12541;1
8930;1
8678;1
10177;-1
8598;1
8173;-1
8403;1
8254;-1
10787;1
12541;-1
9104;-1
10177;1
9104;-1
8427;1
10177;1
8547;1
8746;-1
8544;1
8994;1
9065;1
10045;1
8512;1
8965;1
9317;1
9624;1
8594;1
8705;1
9893;1
8991;1
8114;1
9065;1
9425;1
12541;1
9624;1
9897;1
8965;1
8363;1
8994;1
9272;1
8441;1
8441;1
12541;1
9307;1
8980;1
8814;1
9045;1
9624;1
8444;1
9272;1
8363;1
8173;-1
9753;1
8444;-1
12541;1
8994;-1
8909;1
9060;1
12541;1
8754;1
9538;1
8173;1
11277;1
8991;1
9624;1
8746;-1
8441;1
8754;1
12541;1
12541;1
12541;1
8561;1
8402;1
8899;1
8427;1
8598;1
9624;1
10177;1
10177;1
8544;1
9065;1
9317;1
8240;1
12541;1
9624;1
9425;1
10045;1
8544;1
10045;1
8363;1
12541;1
8544;1
8930;1
9897;1
10124;1
8743;1
10446;1
8994;1
8843;-1
10177;1
8427;1
8110;1
