Id,Predicted
5895,0.679
7122,0.836
6173,0.713
6142,0.709
5358,0.614
6095,0.703
6878,0.806
6554,0.763
6793,0.798
7286,0.86
6076,0.701
5134,0.583
5419,0.62
6255,0.724
5656,0.65
6934,0.813
6028,0.695
6490,0.753
6415,0.745
7087,0.832
5420,0.62
5977,0.688
6824,0.801
5207,0.594
7115,0.835
7250,0.855
6010,0.693
6088,0.702
5682,0.652
7201,0.848
6938,0.813
6875,0.806
5953,0.686
5942,0.685
5382,0.617
6377,0.741
5931,0.683
5992,0.69
5790,0.668
6753,0.791
6562,0.764
7046,0.827
5868,0.676
5784,0.666
5878,0.678
5110,0.579
5210,0.594
7230,0.851
5005,0.565
6871,0.806
5363,0.615
7253,0.855
6055,0.698
5072,0.573
6913,0.81
6386,0.743
5634,0.646
5758,0.663
6819,0.8
7088,0.832
5039,0.569
5532,0.634
6037,0.697
6322,0.734
6887,0.807
6660,0.776
5451,0.623
6014,0.693
5556,0.637
6346,0.737
5850,0.675
5940,0.684
7119,0.836
5253,0.599
6851,0.803
6695,0.782
6908,0.809
7255,0.855
5674,0.651
6278,0.727
5486,0.628
5174,0.59
6621,0.772
6313,0.732
6435,0.748
6970,0.818
6310,0.732
5932,0.684
6877,0.806
6763,0.794
7085,0.832
7049,0.828
6959,0.816
5214,0.594
6350,0.738
5063,0.572
5041,0.569
5086,0.575
6942,0.813
5270,0.601
6705,0.783
7051,0.828
6758,0.793
6249,0.724
5808,0.67
5377,0.617
5446,0.623
5856,0.675
4986,0.563
7001,0.822
6677,0.778
6665,0.776
5817,0.67
6984,0.819
6541,0.762
5117,0.58
6097,0.703
5389,0.618
7219,0.85
6338,0.736
6922,0.811
5367,0.616
5638,0.647
5830,0.672
5338,0.611
6007,0.692
6612,0.771
5718,0.657
6104,0.704
5229,0.596
6625,0.772
5206,0.594
5963,0.687
4990,0.564
6641,0.774
5369,0.616
6196,0.716
5236,0.597
5719,0.658
5643,0.648
7050,0.828
6355,0.739
6688,0.78
6239,0.722
5531,0.634
6113,0.705
7181,0.844
6118,0.706
7264,0.856
5343,0.611
5051,0.571
5779,0.665
6605,0.77
6655,0.775
6534,0.761
5681,0.652
6607,0.77
6242,0.723
7242,0.853
7277,0.859
6675,0.777
5398,0.619
5956,0.686
5731,0.659
6956,0.816
6437,0.748
5447,0.623
5973,0.688
6075,0.701
5281,0.603
5103,0.578
6468,0.751
7209,0.849
5584,0.64
4988,0.563
6502,0.758
5651,0.649
4962,0.561
5862,0.676
7199,0.847
6727,0.786
7279,0.859
6544,0.762
5933,0.684
6574,0.766
6399,0.744
7187,0.845
6353,0.738
5043,0.57
5469,0.626
5976,0.688
6059,0.699
5799,0.668
6147,0.709
6254,0.724
7100,0.834
7147,0.839
5909,0.681
7037,0.827
5782,0.666
6237,0.722
6552,0.763
7067,0.83
5320,0.609
5930,0.683
6486,0.753
5245,0.598
6643,0.774
5260,0.6
5569,0.639
7110,0.835
7139,0.838
6791,0.798
5360,0.615
5287,0.604
6553,0.763
7072,0.83
6044,0.697
5332,0.61
6866,0.805
6633,0.773
6926,0.812
6442,0.749
5889,0.679
5765,0.664
5124,0.582
5491,0.628
6730,0.787
7151,0.839
5140,0.584
7171,0.843
6568,0.765
6861,0.804
6855,0.804
7129,0.837
5384,0.618
6859,0.804
5772,0.664
5665,0.651
6495,0.754
5061,0.572
6948,0.814
5773,0.664
6052,0.698
6682,0.779
6083,0.702
6962,0.817
5158,0.587
6464,0.751
5172,0.589
5582,0.64
6136,0.709
6235,0.722
6508,0.758
4968,0.562
6632,0.773
7195,0.847
5525,0.633
6320,0.733
6766,0.794
6872,0.806
5906,0.681
7172,0.843
6571,0.766
5616,0.644
6312,0.732
6470,0.751
5147,0.586
5501,0.63
6436,0.748
5699,0.655
5313,0.608
6234,0.722
6569,0.766
7202,0.848
5683,0.653
5034,0.569
5435,0.621
5815,0.67
5589,0.64
6746,0.79
6790,0.797
6857,0.804
6450,0.749
7221,0.85
5527,0.633
5620,0.645
6215,0.719
7167,0.843
5823,0.671
6207,0.718
6932,0.813
5669,0.651
5154,0.587
7168,0.843
5585,0.64
7200,0.847
6539,0.761
5774,0.665
6357,0.739
5042,0.569
5015,0.567
5354,0.614
6054,0.698
7295,0.861
5365,0.615
6755,0.792
5991,0.69
7035,0.826
5893,0.679
7164,0.842
5304,0.606
5561,0.638
5520,0.632
5241,0.598
7096,0.833
6078,0.701
5046,0.57
5334,0.611
6969,0.817
6821,0.801
5760,0.663
5614,0.644
7091,0.833
5698,0.655
5169,0.589
7294,0.861
5318,0.609
5368,0.616
6923,0.811
5463,0.625
5265,0.6
6321,0.733
5226,0.596
6868,0.805
4967,0.562
5293,0.605
5865,0.676
5841,0.674
5526,0.633
6852,0.803
6469,0.751
6168,0.712
7292,0.861
5036,0.569
5644,0.648
6856,0.804
5428,0.621
5027,0.568
4989,0.564
5221,0.595
6402,0.744
5346,0.612
6748,0.79
